FECHA,SUBPARTIDA,CANTIDAD,TOTAL_USD
20221215,82,228,646380
20221215,87,793,18997812
20221216,87,728,26821233
20221216,83,182,818220
20221216,82,246,975763
20221217,87,176,9010631
20221217,82,50,145618
20221217,83,32,25734
20221218,83,7,28389
20221218,82,11,4803
20221218,87,1,39
20221219,83,183,1043188
20221219,87,955,30575420
20221219,82,293,1658953
20221220,83,178,1077573
20221220,82,309,1514964
20221220,87,1080,27799339
20221221,87,862,14443929
20221221,82,357,1126547
20221221,83,183,861727
20221222,83,206,1104137
20221222,87,686,26543300
20221222,82,270,826278
20221223,82,153,617870
20221223,83,105,721797
20221223,87,575,19099216
20221224,82,10,21078
20221224,83,18,49879
20221224,87,57,6003308
20221225,83,5,961
20221225,82,4,582
20221226,87,753,35800996
20221226,82,242,1268448
20221226,83,136,1663623
20221227,87,678,18230048
20221227,82,319,1036584
20221227,83,168,696248
20221228,82,291,1260852
20221228,87,1147,23919172
20221228,83,191,605458
20221229,83,152,630425
20221229,82,227,664281
20221229,87,1000,30450929
20221230,82,63,201296
20221230,83,67,200421
20221230,87,311,3117611
20221231,87,7,7545
20221231,83,2,3025
20221231,82,3,263
20230101,83,1,38
20230101,82,1,150
20230102,83,143,1099729
20230102,82,174,471659
20230102,87,525,13945947
20230103,82,256,1077178
20230103,87,790,10559512
20230103,83,136,445323
20230104,83,113,562146
20230104,82,202,535184
20230104,87,751,41664521
20230105,82,317,906231
20230105,83,205,1628814
20230105,87,750,21685638
20230106,82,255,1148962
20230106,83,149,402412
20230106,87,960,8890488
20230107,83,41,171805
20230107,82,52,163671
20230107,87,119,10168959
20230108,82,10,8529
20230108,87,9,419518
20230108,83,3,1377
20230109,82,1,355
20230110,83,181,513428
20230110,82,237,740839
20230110,87,920,12295540
20230111,82,304,885880
20230111,87,870,16022829
20230111,83,208,1286425
20230112,83,173,883698
20230112,82,274,1260348
20230112,87,1183,8851145
20230113,87,885,16923072
20230113,82,191,1510129
20230113,83,156,1301458
20230114,83,22,90747
20230114,87,85,2151842
20230114,82,31,162602
20230115,83,6,4313
20230115,82,6,719
20230116,83,176,984755
20230116,87,624,27871119
20230116,82,300,1024014
20230117,87,897,18630668
20230117,82,318,1297400
20230117,83,178,1312990
20230118,83,183,1126827
20230118,87,1059,13650366
20230118,82,202,688816
20230119,82,238,726947
20230119,83,138,423806
20230119,87,777,11305201
20230120,87,684,9211825
20230120,82,194,886209
20230120,83,171,5154446
20230121,83,37,565178
20230121,87,249,6392124
20230121,82,78,142332
20230122,83,13,4135
20230122,82,3,66
20230122,87,6,2823507
20230123,87,788,15271472
20230123,83,133,525058
20230123,82,215,765857
20230124,83,187,1652803
20230124,87,823,11289304
20230124,82,144,601358
20230125,87,914,7355684
20230125,83,196,934247
20230125,82,250,1324114
20230126,83,185,1164035
20230126,82,203,555054
20230126,87,758,8574250
20230127,83,159,714496
20230127,82,245,1155165
20230127,87,962,7156005
20230128,87,116,902658
20230128,82,55,101943
20230128,83,32,175357
20230129,83,4,7099
20230129,87,9,5912722
20230129,82,4,2415
20230130,87,910,21763919
20230130,83,167,2423727
20230130,82,315,1242397
20230131,82,214,1169892
20230131,87,695,5142552
20230131,83,145,573750
